PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Description of Gene	Interacting Gene	CellOntologyID
20870305	NKX2-5	TFMarker	Stem cell	Normal cell	Myocardium	low-throughput + high-throughput	Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot	Generation of functional cardiomyocytes from mouse induced pluripotent stem cells	The expression of Nk2 transcription factor-related locus 5 (Nkx2.5), a cardiac mesoderm marker, was up-regulated in early EB stages (iPS-dif-d4)	GATA4	CL_0000034
20870305	NPPA	I Marker	Stem cell	Normal cell	Myocardium	low-throughput + high-throughput	Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot	Generation of functional cardiomyocytes from mouse induced pluripotent stem cells	ANF is one of the cardiomyocyte markers	HEY2	CL_0000034
20870305	HEY2	I Marker	Stem cell	Normal cell	Myocardium	low-throughput + high-throughput	Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot	Generation of functional cardiomyocytes from mouse induced pluripotent stem cells	HEY2 is one of the cardiomyocyte markers	NPPA	CL_0000034
20870305	GATA4	TFMarker	Stem cell	Normal cell	Myocardium	low-throughput + high-throughput	Immunohistochemistry;Sequencing technique;Immunocytochemistry;RT-PCR;Weston blot	Generation of functional cardiomyocytes from mouse induced pluripotent stem cells	GATA4 is one of the cardiac mesoderm markers	NKX2-5	CL_0000034
20875405	LOR	T Marker	Epithelial cell	Normal cell	Epidermis	low-throughput	Immunohistochemistry;Weston blot;Immunohistochemistry;RT-PCR;Microscopic observation	Expression of paired-like homeodomain transcription factor 2c(PITX2c) in epidermal keratinocytes	LORICRIN is the differentiation marker in epidermal keratinocyte	PITX2	CL_0000066
20875405	KRT8	I Marker	Epithelial cell	Normal cell	Epidermis	low-throughput	Immunohistochemistry;Weston blot;Immunohistochemistry;RT-PCR;Microscopic observation	Expression of paired-like homeodomain transcription factor 2c(PITX2c) in epidermal keratinocytes	Strong expression of KRT8 is evident in PITX2c-induced malformed epidermis including horn-like structure	PITX2	CL_0000066
20875405	NSG1	T Marker	Epithelial cell	Normal cell	Epidermis	low-throughput	Immunohistochemistry;Weston blot;Immunohistochemistry;RT-PCR;Microscopic observation	Expression of paired-like homeodomain transcription factor 2c(PITX2c) in epidermal keratinocytes	PITX2c overexpression led to the decrease of cell growth, concomitantly with the upregulation of cell cycle-related genes p21. 	PITX2	CL_0000066
20875405	PITX2	TF	Epithelial cell	Normal cell	Epidermis	low-throughput	Immunohistochemistry;Weston blot;Immunohistochemistry;RT-PCR;Microscopic observation	Expression of paired-like homeodomain transcription factor 2c(PITX2c) in epidermal keratinocytes	PITX2c has a role in proliferation and differentiation of epidermal keratinocytes.	NSG1;KRT8;LOR	CL_0000066
20876357	PDGFRB	T Marker	Nerve cell	Normal cell	Blood vessel	low-throughput	Immunohistochemistry;Weston blot;RT-PCR;Immunocytochemistry	The ZFHX3 (ATBF1) transcription factor induces PDGFRB,which activates ATM in the cytoplasm to protect cerebellar neurons from oxidative stress	Inducing expression of platelet-derived growth factor receptor (PDGFRB) could promote survival of neurons.	ZFHX3	CL_0002319
20876357	ZFHX3	TF	Nerve cell	Normal cell	Blood vessel	low-throughput	Immunohistochemistry;Weston blot;RT-PCR;Immunocytochemistry	The ZFHX3 (ATBF1) transcription factor induces PDGFRB,which activates ATM in the cytoplasm to protect cerebellar neurons from oxidative stress	ZFHX3 (ATBF1) transcription factor induces PDGFRB,which activates ATM in the cytoplasm to protect cerebellar neurons from oxidative stress	PDGFRB	CL_0002319
20878332	MYOD1	TFMarker	Skeletal muscle satellite cell	Normal cell	Muscle	low-throughput	Immunofluorescent staining;Immunohistochemistry	Satellite cell heterogeneity with respect to expression of MyoD, myogenin, Dlk1 and c-Met in human skeletal muscle: application to a cohort of power lifters and sedentary men	MyoD is the hallmark for myogenic activation and proliferation	MET;DLK1	
20878332	DLK1	TFMarker	Skeletal muscle satellite cell	Normal cell	Muscle	low-throughput	Immunofluorescent staining;Immunohistochemistry	Satellite cell heterogeneity with respect to expression of MyoD, myogenin, Dlk1 and c-Met in human skeletal muscle: application to a cohort of power lifters and sedentary men	DLK1, also known as preadipocyte factor-1 (Pref-1) and pG2, has also been related to a subpopulation of SCs.	MYOD1;MET	
20878332	MET	TFMarker	Skeletal muscle satellite cell	Normal cell	Muscle	low-throughput	Immunofluorescent staining;Immunohistochemistry	Satellite cell heterogeneity with respect to expression of MyoD, myogenin, Dlk1 and c-Met in human skeletal muscle: application to a cohort of power lifters and sedentary men	MET, the receptor for hepatocyte growth factor (HGF), is generally considered to be present on both quiescent and activated SCs in rodents	MYOD1;DLK1	
20887899	ZBTB16	TF Pmarker	Adipocyte cell	Normal cell	Adipose	low-throughput + high-throughput	Microscopic observation;qPCR;RT-qPCR;Gene knock down;Western blot;ChIP-Seq	Comparative Epigenomic Analysisof Murine and Human Adipogenesis	Transcription factor motifs to identify and validate ZBTB16 and SRF as regulators of adipogenesis.	SRF	
20887899	SRF	TF Pmarker	Adipocyte cell	Normal cell	Adipose	low-throughput + high-throughput	Microscopic observation;qPCR;RT-qPCR;Gene knock down;Western blot;ChIP-Seq	Comparative Epigenomic Analysisof Murine and Human Adipogenesis	Transcription factor motifs to identify and validate ZBTB16 and SRF as regulators of adipogenesis.	ZBTB16	
20976554	NANOG	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-PCR;Microscopic observation;Immunofluorescent staining;Western blot;Gene knock down	A whole-mechanical method to establish human embryonic stem cell line HN8 from discarded embryos	Transcription factors (OCT-4, NANOG, REX-1) are markers expressed in embryonic stem cells	ZFP42;POU5F1	CL_0000034
20976554	POU5F1	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-PCR;Microscopic observation;Immunofluorescent staining;Western blot;Gene knock down	A whole-mechanical method to establish human embryonic stem cell line HN9 from discarded embryos	Transcription factors (OCT-4, NANOG, REX-1) are markers expressed in embryonic stem cells	ZFP42;NANOG	CL_0000034
20976554	ZFP42	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-PCR;Microscopic observation;Immunofluorescent staining;Western blot;Gene knock down	A whole-mechanical method to establish human embryonic stem cell line HN10 from discarded embryos	Transcription factors (OCT-4, NANOG, REX-1) are markers expressed in embryonic stem cells	NANOG;POU5F1	CL_0000034
21167714	POU5F1	TFMarker	Stem cell	Normal cell	Embryo	low-throughput	Western blot;Immunofluorescent staining;qPCR	A High Proliferation Rate Is Requiredfor Cell Reprogramming and Maintenanceof Human Embryonic Stem Cell Identity	OCT4 is a transcription factor and marker in HES cells.	NANOG	CL_0000034
21167714	NANOG	TFMarker	Stem cell	Normal cell	Embryo	low-throughput	Western blot;Immunofluorescent staining;qPCR	A High Proliferation Rate Is Requiredfor Cell Reprogramming and Maintenanceof Human Embryonic Stem Cell Identity	We also analyzed the level of proliferation, by measuring the percentage of bromodeoxyuridine (BrdU) incorporation in emerging iPS cell colonies that express the stem cell marker NANOG.	POU5F1	CL_0000034
21280162	SOX2	TFMarker	Glial cell	Normal cell	Intestine	low-throughput	Immunohistochemistry;Microscopic observation	Prospective Identification and Isolation of Enteric Nervous System Progenitors Using Sox2	Stem cell marker SRY-related homoebox transcription factor 2 (SOX2) as expressed in the embryonic ENS.	SOX10	CL_0000125
21280162	SOX10	TFMarker	Glial cell	Normal cell	Intestine	low-throughput	Immunohistochemistry;Microscopic observation	Prospective Identification and Isolation of Enteric Nervous System Progenitors Using Sox2	We also show that SOX2 expression overlaps significantly with SOX10, a well-established marker of ENS progenitors and enteric glial cells.	SOX2	CL_0000125
21282644	YY1	TF Pmarker	B cell	Normal cell	Lymph	low-throughput + high-throughput	DNA-seq;ChIP-qPCR;ChIP-seq	Signatures of murine B-cell development implicateYy1 as a regulator of the germinal center-specificprogram	YY1 and its targets to be central regulators of the germinal center B (GCB)-specific transcriptional program with binding of YY1 to select signature genes in GCB cells.		CL_0000236
21285251	ZEB1	TF	Stem cell	Normal cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot	DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism	miR-200a inhibits EMT by repressing the transcription factors ZEB1 and ZEB2 with subsequent rescue of E-cadheri.	DCLK1	CL_0000034
21285251	ZEB2	TF	Stem cell	Normal cell	Pancreas	low-throughput	Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot	DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism	miR-200a inhibits EMT by repressing the transcription factors ZEB1 and ZEB2 with subsequent rescue of E-cadheri.	DCLK1	CL_0000034
21285289	ELK1	TF Pmarker	Smooth muscle cell	Normal cell	Blood vessel	low-throughput + high-throughput	Western blot;qPCR;;RNA-seq;Immunofluorescent staining	A phospholipase Cg1-activated pathwayregulates transcription in human vascularsmooth muscle cells	This is partly regulated via translocation of extracellular signal-regulated kinase 1/2 (ERK1/2) to the nucleus which activates the transcription factor ELK1.	ELK1;MAPK1	CL_0000192
21285289	MAPK3	TF Pmarker	Smooth muscle cell	Normal cell	Blood vessel	low-throughput + high-throughput	Western blot;qPCR;;RNA-seq;Immunofluorescent staining	A phospholipase Cg1-activated pathwayregulates transcription in human vascularsmooth muscle cells	This is partly regulated via translocation of extracellular signal-regulated kinase 1/2 (ERK1/2) to the nucleus which activates the transcription factor ELK1.	ELK1;MAPK1	CL_0000192
21285289	MAPK1	TF Pmarker	Smooth muscle cell	Normal cell	Blood vessel	low-throughput + high-throughput	Western blot;qPCR;;RNA-seq;Immunofluorescent staining	A phospholipase Cg1-activated pathwayregulates transcription in human vascularsmooth muscle cells	This is partly regulated via translocation of extracellular signal-regulated kinase 1/2 (ERK1/2) to the nucleus which activates the transcription factor ELK1.	ELK1	CL_0000192
21291304	KIT	TFMarker	Germ cell	Normal cell	Ovary	low-throughput	Microscopic observation;RT-PCR	Detection, characterization, and spontaneous differentiation in vitro of very small embryonic-like putative stem cells in adult mammalian ovary 	Germ cell markers like c-Kit, DAZL, GDF-9, VASA, and ZP4 were immuno-localized in oocyte-like structures.	GDF9	CL_0000586
21291304	KIT	TFMarker	Germ cell	Normal cell	Ovary	low-throughput	Microscopic observation;RT-PCR	Detection, characterization, and spontaneous differentiation in vitro of very small embryonic-like putative stem cells in adult mammalian ovary 	Germ cell markers like c-Kit, DAZL, GDF-9, VASA, and ZP4 were immuno-localized in oocyte-like structures.	GDF9	CL_0000670
21291304	GDF9	TFMarker	Germ cell	Normal cell	Ovary	low-throughput	Microscopic observation;RT-PCR	Detection, characterization, and spontaneous differentiation in vitro of very small embryonic-like putative stem cells in adult mammalian ovary 	Germ cell markers like c-Kit, DAZL, GDF-9, VASA, and ZP4 were immuno-localized in oocyte-like structures.	KIT	CL_0000586
21291304	GDF9	TFMarker	Germ cell	Normal cell	Ovary	low-throughput	Microscopic observation;RT-PCR	Detection, characterization, and spontaneous differentiation in vitro of very small embryonic-like putative stem cells in adult mammalian ovary 	Germ cell markers like c-Kit, DAZL, GDF-9, VASA, and ZP4 were immuno-localized in oocyte-like structures.	KIT	CL_0000670
21297445	TTF1	TF Pmarker	Spindle cell	Normal cell	Thyroid	low-throughput	Immunohistochemistry;Microscopic observation	Spindle cell foci in the thyroid gland: an immunohistochemical analysis	Staining for TTF-1 and TTF-2 provided high specificity for identification of SCFT since these markers were not subject to the same diffusion artifact inherent in thyroglobulin-stained sections.	TTF2	
21297445	TTF2	TF Pmarker	Spindle cell	Normal cell	Thyroid	low-throughput	Immunohistochemistry;Microscopic observation	Spindle cell foci in the thyroid gland: an immunohistochemical analysis	Staining for TTF-1 and TTF-2 provided high specificity for identification of SCFT since these markers were not subject to the same diffusion artifact inherent in thyroglobulin-stained sections.	TTF1	
21312339	RUNX2	TFMarker	Osteoblast cell	Normal cell	Bone	low-throughput	Weston blot	The small molecule PKA-specific cyclic AMP analogue as an inducer of osteoblast-like cells differentiation and mineralization	Alkaline phosphatase (ALP) activity, runt transcription factor 2 (RUNX2), osteopontin (OPN) and osteocalcin (OCN) protein expressions were used as osteoblast-specific markers to demonstrate osteoblastic differentiation.		CL_0000062
21315411	SNAI1	TF	Tuft cell	Normal cell	Kidney	low-throughput	Immunohistochemistry;Microscopic observation	Tubular nuclear accumulation of Snail and epithelial phenotypic changes in human myeloma cast nephropathy	SNAI1, a major player in the process of epithelial-to-mesenchymal transition, is highly expressed by tubular epithelial cells during multiple myeloma nephropathy. 		
21354971	GABPA	TF	Bone marrow cell	Normal cell	Spinal cord	low-throughput + high-throughput	Western blot;Immunohistochemistry;Immunofluorescent staining;Survival analysis;Microscopic observation	Fumaric acid esters exert neuroprotective effects in neuroinflammation via activation of the Nrf2 antioxidant pathway	The NRF2 antioxidant pathway plays a neuroprotective role in neuroinflammation	IL2	
21354971	IL2	T Marker	Bone marrow cell	Normal cell	Spinal cord	low-throughput + high-throughput	Western blot;Immunohistochemistry;Immunofluorescent staining;Survival analysis;Microscopic observation	Fumaric acid esters exert neuroprotective effects in neuroinflammation via activation of the Nrf3 antioxidant pathway	In dermatologic in vitro studies, these effects comprised a Th2 shift, a reduction of proinflammatory cytokines such as interleukin (IL)-2.	GABPA	
21374761	NEUROD1	TFMarker	Mesenchyme cell	Normal cell	Mesenchymal	low-throughput	RT-PCR;Immunofluorescent staining;Weston blot;Microscopic observation	Wnt signaling promotes neuronal differentiation from mesenchymal stem cells through activation of Tlx3	Wnt/β-catenin signaling promotes neural differentiation by activation of the neuron-specific transcription factors, Neurogenin1 (Ngn1), NEUROD1, and BRN3A, in the nervous system.		CL_0008019
21374761	POU4F1	TFMarker	Mesenchyme cell	Normal cell	Mesenchymal	low-throughput	RT-PCR;Immunofluorescent staining;Weston blot;Microscopic observation	Wnt signaling promotes neuronal differentiation from mesenchymal stem cells through activation of Tlx3	Wnt/β-catenin signaling promotes neural differentiation by activation of the neuron-specific transcription factors, Neurogenin1 (Ngn1), NEUROD1, and BRN3A, in the nervous system.		CL_0008019
21376034	RUNX2	TFMarker	Osteoblast cell	Normal cell	Bone	low-throughput	qPCR;Microscopic observation	A novel flavonoid isolated from the steam-bark of Ulmus wallichiana planchon stimulates osteoblast function and inhibits osteoclast and adipocyte differentiation	The gene expression of osteogenic markers, including runt-related transcription factor 2 (RUNX2), bone morphogenetic protein-2 (BMP-2), type I collagen and osteocalcin were elevated in the preosteoblasts.	CSF1;TNFSF11	CL_0000062
21376034	TNFSF11	TF Pmarker	Osteoblast cell	Normal cell	Bone	low-throughput	qPCR;Microscopic observation	A novel flavonoid isolated from the steam-bark of Ulmus wallichiana planchon stimulates osteoblast function and inhibits osteoclast and adipocyte differentiation	Osteoclast differentiation of bone marrow precursor cells to osteoclasts in the presence of receptor activator of nuclear factor kappa-B ligand (TNFSF11) and monocyte/macrophage-colony stimulating factor (M-CSF).	CSF1;RUNX2	CL_0000062
21376034	CSF1	TF Pmarker	Osteoblast cell	Normal cell	Bone	low-throughput	qPCR;Microscopic observation	A novel flavonoid isolated from the steam-bark of Ulmus wallichiana planchon stimulates osteoblast function and inhibits osteoclast and adipocyte differentiation	Osteoclast differentiation of bone marrow precursor cells to osteoclasts in the presence of receptor activator of nuclear factor kappa-B ligand (RANKL) and monocyte/macrophage-colony stimulating factor (CSF1).	TNFSF11;RUNX2	CL_0000062
21378021	TGFB1	TF	Epithelial cell	Normal cell	Lung	low-throughput + high-throughput	Weston blot;qPCR;RNA-seq	TRIP-1 regulates TGF-β1-induced epithelial-mesenchymal transition of human lung epithelial cell line A549	TGF-B1 drives EMT, but it is not known whether TRIP-1 expression influences EMT induction.	SNAI2;SMAD3	CL_0000066
21378021	SMAD3	TF Pmarker	Epithelial cell	Normal cell	Lung	low-throughput + high-throughput	Weston blot;qPCR;RNA-seq	TRIP-1 regulates TGF-β1-induced epithelial-mesenchymal transition of human lung epithelial cell line A549	A pathway involving increased TGF-B type II receptor level, enhanced SMAD3 phosphorylation, and the transcription factor SLUG is implicated.	TGFB1;SNAI2	CL_0000066
21378021	SNAI2	TF Pmarker	Epithelial cell	Normal cell	Lung	low-throughput + high-throughput	Weston blot;qPCR;RNA-seq	TRIP-1 regulates TGF-β1-induced epithelial-mesenchymal transition of human lung epithelial cell line A549	A pathway involving increased TGF-B type II receptor level, enhanced SMAD3 phosphorylation, and the transcription factor SLUG is implicated.	TGFB1;SMAD3	CL_0000066
21381018	FOXP3	TF	T cell	Normal cell	Blood	low-throughput	qPCR;Flow-throughput cytometry;Immunofluorescent staining	FOXP3+ CD4+ Tregs lose suppressive potential but remain anergic during transient inflammation in human	During this transient immune activation, both the percentage of CD41 FOXP31 cells and the level of expression of FOXP3 in the CD41 CD25 bright CD127low population increased.	ITGA2B;IL2RA	CL_0000084
21381018	ITGA2B	T Marker	T cell	Normal cell	Blood	low-throughput	qPCR;Flow-throughput cytometry;Immunofluorescent staining	FOXP3+ CD4+ Tregs lose suppressive potential but remain anergic during transient inflammation in human	During this transient immune activation, both the percentage of CD41 FOXP31 cells and the level of expression of FOXP3 in the CD41 CD25 bright CD127low population increased.	FOXP3	CL_0000084
21381018	IL2RA	T Marker	T cell	Normal cell	Blood	low-throughput	qPCR;Flow-throughput cytometry;Immunofluorescent staining	FOXP3+ CD4+ Tregs lose suppressive potential but remain anergic during transient inflammation in human	During this transient immune activation, both the percentage of CD41 FOXP31 cells and the level of expression of FOXP3 in the CD41 CD25 bright CD127low population increased.	FOXP3	CL_0000084
21381079	RUNX2	TF Pmarker	Osteoblast cell	Normal cell	Bone marrow	low-throughput + high-throughput	qRT-PCR;DNA-seq;Weston blot	EGFR signaling suppresses osteoblast differentiation and inhibits expression of master osteoblastic transcription factors Runx2 and Osterix	EGFR signaling reduced the expression of two major osteoblastic transcription factors Runx2 (type II) and Osterix in osteoblast differentiating cells. 	EGFR	CL_0000062
21385068	SOX9	TF	Cartilage cell	Normal cell	Arthrosis	low-throughput	qPCR;Microscopic observation	Analysis of post transcriptional regulation of SOX9 mRNA during in vitro chondrogenesis	Two of the most commonly used molecular markers for assessing chondrocyte phenotype are the COL2A1 gene, which encodes the cartilage specific collagen type II, and the transcription factor SOX9.	COL2A1	CL_0000138
21385068	COL2A1	T Marker	Cartilage cell	Normal cell	Arthrosis	low-throughput	qPCR;Microscopic observation	Analysis of post transcriptional regulation of SOX9 mRNA during in vitro chondrogenesis	Two of the most commonly used molecular markers for assessing chondrocyte phenotype are the COL2A1 gene, which encodes the cartilage specific collagen type II, and the transcription factor SOX9.	SOX9	CL_0000138
21395400	PDX1	TF	Stem cell	Normal cell	Pancreas	low-throughput	PCR;Flow cytometric	Characterization of an in vitro differentiation assay for pancreatic-like cell development from murine embryonic stem cells: detailed gene expression analysis	Overexpression of NEUROG3, an endocrine progenitor cell marker, induced glucagon expression at stages when PDX1 message was present	NEUROG3	CL_0000034
21395400	NEUROG3	T Marker	Stem cell	Normal cell	Pancreas	low-throughput	PCR;Flow cytometric	Characterization of an in vitro differentiation assay for pancreatic-like cell development from murine embryonic stem cells: detailed gene expression analysis	Overexpression of NEUROG3, an endocrine progenitor cell marker, induced glucagon expression at stages when PDX1 message was present	PDX1	CL_0000034
21408072	SOX17	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-qPCR;Flow cytometry	A New FACS Approach Isolates hESC Derived Endoderm Using Transcription Factors	We use this transcription factor FACS (tfFACS) methodology to perform a genomicanalysis of hESC-derived endodermal lineages marked by combinations of SOX17, GATA4, and CXCR4, and find that triplepositive cells have a much stronger definitive endoderm signature than other combinations of these markers.	CXCR4;GATA4	CL_0000034
21408072	GATA4	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-qPCR;Flow cytometry	A New FACS Approach Isolates hESC Derived Endoderm Using Transcription Factors	We use this transcription factor FACS (tfFACS) methodology to perform a genomicanalysis of hESC-derived endodermal lineages marked by combinations of SOX17, GATA4, and CXCR4, and find that triplepositive cells have a much stronger definitive endoderm signature than other combinations of these markers.	CXCR4;SOX17	CL_0000034
21408072	CXCR4	TF Pmarker	Stem cell	Normal cell	Embryo	low-throughput	RT-qPCR;Flow cytometry	A New FACS Approach Isolates hESC Derived Endoderm Using Transcription Factors	We use this transcription factor FACS (tfFACS) methodology to perform a genomicanalysis of hESC-derived endodermal lineages marked by combinations of SOX17, GATA4, and CXCR4, and find that triplepositive cells have a much stronger definitive endoderm signature than other combinations of these markers.	GATA4;SOX17	CL_0000034
21412023	KLF4	TFMarker	Pancreas cell	Normal cell	Pancreas	low-throughput	Microscopic observation;Weston blot;qPCR;Immunofluorescent staining;Immunohistochemistry	Loss of heterozygosity status of D9S105 marker is associated with downregulation of Krüppel-like factor 4 expression in pancreatic ductal adenocarcinoma and pancreatic intraepithelial lesions	Transcription factor Krüppel-like factor 4 (KLF4) is prognostic biomarker in gemcitabine-treated patients		
21417693	SOX7	TFMarker	Stem cell	Normal cell	Heart	low-throughput	Immunofluorescent staining;Flow-throughput cytometry;Gene knock down	Geometric Control of Cardiomyogenic Induction in Human Pluripotent Stem Cells	SOX7 is an important transcription factor in the development of the heart and the outer endoderm of the embryo	GATA6;FOXA2	CL_0000034
21417693	SOX7	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescent staining;Flow-throughput cytometry;Gene knock down	Geometric control of cardiomyogenic induction in human pluripotent stem cells	A direct relationship between ExE and cardiac differentiation efficiency was established by forming aggregates with varying ratios of SOX7 (a transcription factor required for ExE development) overexpressing or knockdown hESCs to unmanipulated hESCs.	GATA6;FOXA2	CL_0000034
21417693	FOXA2	T Marker	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescent staining;Flow-throughput cytometry;Gene knock down	Geometric control of cardiomyogenic induction in human pluripotent stem cells	The frequency of endoderm marker (FOXA2 and GATA6)- expressing cells decreased with increasing aggregate size during early differentiation.	SOX7	CL_0000034
21417693	GATA6	T Marker	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescent staining;Flow-throughput cytometry;Gene knock down	Geometric control of cardiomyogenic induction in human pluripotent stem cells	The frequency of endoderm marker (FOXA2 and GATA6)- expressing cells decreased with increasing aggregate size during early differentiation.	SOX7	CL_0000034
21417714	RUNX2	TFMarker	Stem cell	Normal cell	Cartilage	low-throughput + high-throughput	qRT-PCR;Immunohistochemistry;Bioinformatic prediction;Immunofluorescent staining;Microscopic observation	Metabolic Activities and Chondrogenic Differentiation of Human Mesenchymal Stem Cells Following Recombinant Adeno-Associated Virus–Mediated Gene Transfer and Overexpression of Fibroblast Growth Factor 2	Osteogenesis markers include alkaline phosphatase, and the osteogenic gene transcription factor RUNX-2 is inhibited by FGF-2 expression	FGF2	CL_0000034
21419292	POU5F1	TFMarker	Dental pulp cell	Normal cell	Dental pulp	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	POU5F1	TFMarker	Dental pulp cell	Normal cell	Periodontal ligament	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	SOX2	TFMarker	Dental pulp cell	Normal cell	Dental pulp	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	SOX2	TFMarker	Dental pulp cell	Normal cell	Periodontal ligament	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	MYC	TFMarker	Dental pulp cell	Normal cell	Dental pulp	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	MYC	TFMarker	Dental pulp cell	Normal cell	Periodontal ligament	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	KLF4	CL_0002148
21419292	KLF4	TF	Dental pulp cell	Normal cell	Dental pulp	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	MYC;POU5F1;SOX2	CL_0002148
21419292	KLF4	TF	Dental pulp cell	Normal cell	Periodontal ligament	low-throughput	Immunofluorescent staining;Immunohistochemistry;qRT-PCR	Expression Pattern of Oct-4, Sox2, and c-Myc in the Primary Culture of Human Dental Pulp Derived Cells	Transcription factors OCT-4、SOX2、C-MYC and KLF4 play a regulatory role in Dental Pulp cell reprogramming, and Oct-4、Sox2 and c-Myc are also markers for pulp cell reprogramming	MYC;POU5F1;SOX2	CL_0002148
21438665	PAX7	TFMarker	Satellite cell	Normal cell	Skeletal muscle	low-throughput	Immunofluorescent staining;Microscopic observation;qRT-PCR	Hypoxia Promotes Proliferation of Human Myogenic Satellite Cells: A Potential Benefactor in Tissue Engineering of Skeletal Muscle	Hypoxia can up-regulate the gene expressions of myogenic transcription factors PAX7, MYF5 and MYOD in Human satellite cell		
21438665	MYF5	TFMarker	Satellite cell	Normal cell	Skeletal muscle	low-throughput	Immunofluorescent staining;Microscopic observation;qRT-PCR	Hypoxia Promotes Proliferation of Human Myogenic Satellite Cells: A Potential Benefactor in Tissue Engineering of Skeletal Muscle	Hypoxia can up-regulate the gene expressions of myogenic transcription factors PAX7, MYF5 and MYOD in Human satellite cell		
21438665	MYOD1	TFMarker	Satellite cell	Normal cell	Skeletal muscle	low-throughput	Immunofluorescent staining;Microscopic observation;qRT-PCR	Hypoxia Promotes Proliferation of Human Myogenic Satellite Cells: A Potential Benefactor in Tissue Engineering of Skeletal Muscle	Hypoxia can up-regulate the gene expressions of myogenic transcription factors PAX7, MYF5 and MYOD in Human satellite cell		
21440248	IL10	TFMarker	T cell	Normal cell	Immune	low-throughput + high-throughput	qRT-PCR;Immunohistochemistry;Western blot;ChIP-seq;DNA-seq;Immunofluorescent staining	IRF4 regulates IL-10 gene expression in CD4+ T cells through differential nuclear translocation	IL-10 is a multi-functional cytokine that plays a crucial role in maintaining the balance between immunity and tolerance.	IRF4	CL_0000084
